0.00	4.43	9.73	6.92	1.64	8.51
1.00	8.48	2.69	6.44	4.48	4.13
0.00	4.46	0.03	3.83	7.39	4.35
0.00	2.47	3.17	9.86	2.25	8.86
0.00	6.11	3.09	5.71	9.57	3.53
1.00	3.23	3.63	0.60	0.37	8.32
1.00	3.26	7.11	6.92	7.49	9.53
0.00	8.40	9.37	7.10	0.43	5.09
1.00	3.93	7.39	0.61	8.94	6.15
1.00	9.76	7.79	7.97	5.29	3.76
1.00	4.09	3.96	4.66	2.67	6.67
0.00	6.73	6.68	5.52	4.12	8.16
1.00	7.00	7.90	5.66	6.71	1.05
1.00	3.95	7.48	8.85	3.65	7.30
0.00	0.58	6.28	6.53	9.99	5.10
1.00	3.79	6.62	0.07	0.33	1.08
0.00	5.92	1.70	4.72	0.09	9.93
1.00	2.50	3.59	4.83	5.54	6.55
1.00	6.24	4.30	9.21	7.57	3.86
1.00	1.05	6.27	0.15	8.71	4.95
1.00	9.31	7.67	2.96	3.75	1.66
0.00	6.87	9.75	5.47	4.09	4.67
1.00	9.96	8.79	4.36	0.95	7.69
0.00	7.97	1.27	3.41	4.52	1.01
1.00	8.68	5.79	3.86	7.07	9.44
0.00	0.39	7.28	2.78	8.31	5.43
0.00	6.90	2.09	0.91	9.75	4.60
1.00	8.83	2.42	5.31	3.65	7.66
0.00	3.09	1.08	0.90	8.48	6.94
1.00	8.47	3.86	1.16	0.27	3.49
1.00	6.76	8.39	9.10	8.58	3.83
0.00	7.82	2.61	2.54	6.77	0.43
1.00	3.74	9.48	9.18	9.64	7.66
1.00	4.48	6.57	9.63	2.34	6.74
0.00	2.67	4.36	7.37	2.20	2.97
0.00	4.31	7.93	5.30	9.03	0.59
1.00	6.86	7.44	8.33	5.79	4.00
0.00	9.34	7.60	7.67	0.79	2.00
0.00	2.50	3.05	6.24	3.29	1.76
1.00	7.06	2.39	0.17	4.17	2.89
0.00	6.15	6.84	1.76	2.04	5.38
0.00	2.95	8.63	4.86	5.54	3.89
1.00	3.48	6.72	0.24	3.77	7.74
1.00	5.54	8.81	7.21	4.17	1.03
1.00	2.46	5.23	6.24	1.94	2.92
0.00	6.16	7.77	9.71	4.43	7.16
0.00	9.35	8.41	6.67	9.16	3.63
0.00	1.44	2.58	6.15	6.57	5.53
1.00	5.51	1.47	9.33	5.62	4.04
0.00	2.24	5.69	1.29	9.19	5.78
1.00	2.42	2.55	0.05	4.45	4.11
0.00	5.45	1.11	4.88	7.66	7.62
1.00	8.22	6.65	5.47	6.93	9.17
0.00	2.06	9.70	9.55	5.83	2.53
0.00	1.37	1.60	6.39	3.00	0.04
0.00	7.79	7.74	5.26	9.24	7.22
1.00	9.56	9.53	5.05	4.54	7.19
0.00	5.21	7.13	6.47	9.13	9.52
1.00	0.76	0.59	8.13	1.71	9.47
1.00	4.61	2.93	6.80	3.29	1.10
1.00	8.18	4.45	1.20	3.76	5.69
0.00	1.07	4.87	0.91	4.78	4.55
1.00	1.43	4.37	7.61	6.74	0.09
0.00	8.11	5.84	5.45	7.00	7.65
1.00	6.70	5.28	8.95	6.14	7.06
1.00	5.93	4.26	0.55	1.12	6.69
1.00	9.02	2.24	6.31	5.79	0.21
0.00	3.04	1.08	2.88	0.28	6.30
1.00	9.65	9.87	2.26	8.74	9.57
0.00	2.47	4.74	2.54	0.60	2.49
0.00	7.96	3.62	0.58	3.01	8.12
0.00	0.57	5.62	9.78	1.17	1.57
0.00	8.37	7.32	4.23	1.31	4.80
1.00	6.33	2.93	8.18	9.97	7.24
0.00	8.86	4.63	7.81	9.38	7.27
0.00	7.96	9.65	7.55	9.36	1.19
1.00	8.28	8.19	1.86	9.21	3.99
0.00	5.67	9.34	5.71	5.21	4.70
1.00	1.98	6.93	7.22	6.98	1.61
1.00	4.39	5.04	0.93	1.72	2.76
1.00	6.00	0.07	5.64	4.17	6.22
0.00	7.33	9.67	1.16	4.33	5.73
1.00	2.83	4.62	8.66	1.86	5.25
0.00	2.26	7.17	2.82	5.62	1.71
0.00	3.90	2.12	8.52	6.74	3.76
1.00	4.84	5.39	4.41	5.93	3.93
0.00	1.19	0.57	4.58	7.35	2.29
1.00	6.96	8.15	7.66	9.42	8.05
1.00	0.73	5.47	1.91	8.58	6.13
0.00	0.46	5.63	8.85	2.73	9.63
0.00	6.37	2.42	8.95	1.94	9.50
1.00	3.02	1.18	4.53	2.49	9.32
0.00	2.98	7.23	3.67	3.62	8.53
1.00	1.49	2.01	0.44	7.85	8.19
1.00	6.67	9.62	7.40	4.07	8.52
0.00	3.30	8.34	9.71	0.23	0.24
0.00	0.77	6.48	4.87	9.69	5.02
1.00	2.71	4.06	7.76	2.05	0.30
1.00	0.25	4.91	5.73	6.13	2.61
0.00	6.72	2.79	9.78	1.83	4.95
